;table;tableDescription;fieldNr;fieldName;fieldDescription;dataType;length
;BUOBJ     ;Budget object;5;KEYREVRT  ;Transaktionstyp;C;15
;BUOBJ     ;Budget object;6;BAFENCAPT ;Administrative district, caption;C;30
;BUOBJ     ;Budget object;7;BAFENCODE ;Administrative district;C;30
;BUOBJ     ;Budget object;8;BAFSTCAPT ;Property, caption;C;30
;BUOBJ     ;Budget object;9;BAFSTCODE ;Property;C;30
;BUOBJ     ;Budget object;10;BABYGCAPT ;Building, caption;C;30
;BUOBJ     ;Budget object;11;BABYGCODE ;Building;C;30
;BUOBJ     ;Budget object;12;BAVANCAPT ;Floor, caption;C;30
;BUOBJ     ;Budget object;13;BAVANCODE ;Floor;C;30
;BUOBJ     ;Budget object;14;CMCMPCAPT ;Company, caption;C;30
;BUOBJ     ;Budget object;15;CMCMPCODE ;Company;C;30
;BUOBJ     ;Budget object;16;CMSOMCAPT ;Service area, caption;C;30
;BUOBJ     ;Budget object;17;CMSOMCODE ;Service area;C;30
;BUOBJ     ;Budget object;18;CMRGNCAPT ;Region, caption;C;30
;BUOBJ     ;Budget object;19;CMRGNCODE ;Region;C;30
;BUOBJ     ;Budget object;20;HYINTCAPT ;Rental object type, caption;C;30
;BUOBJ     ;Budget object;21;HYINTCODE ;Rental object type;C;30
;BUOBJ     ;Budget object;22;ROOMCOUNT ;Number of rooms;I;4
;BUOBJ     ;Budget object;23;UPPGANG   ;Staircase;C;20
;BUOBJ     ;Budget object;24;OBJCAPT   ;Caption;C;30
;BUOBJ     ;Budget object;25;OBJCODE   ;Code;C;30
;BUOBJ     ;Budget object;26;HYRESID   ;Rent ID;C;30
;BUOBJ     ;Budget object;27;AREABRA   ;BRA (utility);N;20
;BUOBJ     ;Budget object;28;AREALOA   ;LOA (premises area);N;20
;BUOBJ     ;Budget object;29;AREACONTR ;Leased area;N;20
;BUOBJ     ;Budget object;30;AREAHEAT  ;Heating area;N;20
;BUOBJ     ;Budget object;31;AREACOMMON;Common area;N;20
;BUOBJ     ;Budget object;32;DISAREA   ;Area;C;30
;BUOBJ     ;Budget object;33;DISDISTR  ;District;C;30
;BUOBJ     ;Budget object;34;OBJTYPE   ;Object type;C;30
;BUOBJ     ;Budget object;35;TOWNDISTR ;Town district;C;30
;BUOBJ     ;Budget object;36;TIMESTAMP ;;C;10
;BUPIV     ;Link prognosis/budgeted index value;1;KEYBUPIV  ;Link prognosis/budgeted index value;C;15
;BUPIV     ;Link prognosis/budgeted index value;2;KEYBUINV  ;Budgeted index value;C;15
;BUPIV     ;Link prognosis/budgeted index value;3;KEYBUINV2 ;Budgeted index value;C;15
;BUPIV     ;Link prognosis/budgeted index value;4;KEYBUREV  ;Budgetversion;C;15
;BUPIV     ;Link prognosis/budgeted index value;5;TIMESTAMP ;;C;10
;BUPLR     ;buplr;1;KEYBUPLR  ;;C;15
;BUPLR     ;buplr;2;KEYBUREV  ;Budgetversion;C;15
;BUPLR     ;buplr;3;KEYREBUR  ;Budgetrad;C;15
;BUPLR     ;buplr;4;AMOUNT    ;Amount;Y;8
;BUPLR     ;buplr;5;TIMESTAMP ;;C;10
;BURAC     ;Coding;1;KEYBURAC  ;Coding;C;15
;BURAC     ;Coding;2;KEYREKTK  ;Kodtypskategori;C;15
;BURAC     ;Coding;3;KEYREVRT  ;Transaktionstyp;C;15
;BURAC     ;Coding;4;KEYBURAD  ;Budgetdebiteringsrad;C;15
;BURAC     ;Coding;5;ACCYEAR   ;Accounting year;I;4
;BURAC     ;Coding;6;CODINGSTR ;Coding field;C;200
;BURAC     ;Coding;7;TIMESTAMP ;;C;10
;BURAD     ;Budget debit row;1;KEYBURAD  ;Budget debit row;C;15
;BURAD     ;Budget debit row;2;KEYBUOBJ  ;Budgetobjekt;C;15
;BURAD     ;Budget debit row;3;KEYBUINV  ;Budgeted index value;C;15
;BURAD     ;Budget debit row;4;KEYBUINV2 ;Budgeted index value;C;15
;BURAD     ;Budget debit row;5;KEYBUINV3 ;Budgeted index value;C;15
;BURAD     ;Budget debit row;6;KEYHYINK  ;Indexklausul;C;15
;BURAD     ;Budget debit row;7;KEYHYRAD  ;Hyresrad;C;15
;BURAD     ;Budget debit row;8;KEYREVRT  ;Transaktionstyp;C;15
;BURAD     ;Budget debit row;9;AKTHYRATOT;Year rent;Y;8
;BURAD     ;Budget debit row;10;BASHYRATOT;Base rent;Y;8
;BURAD     ;Budget debit row;11;ANTAL     ;Quantity;N;20
;BURAD     ;Budget debit row;12;FDATE     ;From;T;8
;BURAD     ;Budget debit row;13;TDATE     ;To;T;8
;BURAD     ;Budget debit row;14;CFRDATE   ;Lease from;T;8
;BURAD     ;Budget debit row;15;CLASTDEBIT;Last debit date;T;8
;BURAD     ;Budget debit row;16;FROMPER   ;Part of year from;C;4
;BURAD     ;Budget debit row;17;TOMPER    ;Part of year to;C;4
;BURAD     ;Budget debit row;18;INDFCAMON ;Change from (months after new index);I;4
;BURAD     ;Budget debit row;19;INDFCDINMN;Change from (day in month);I;4
;BURAD     ;Budget debit row;20;INDINTERVL;Interval;I;4
;BURAD     ;Budget debit row;21;INDSHARE  ;Index share;N;20
;BURAD     ;Budget debit row;22;TEMPLATE  ;Lease template;I;4
;BURAD     ;Budget debit row;23;ROWTYPE   ;Row type;I;4
;BURAD     ;Budget debit row;24;ARTCODE   ;Item;C;20
;BURAD     ;Budget debit row;25;ARTCAPTION;Item, caption;C;70
;BURAD     ;Budget debit row;26;HYOBJBEN  ;Lease number;C;35
;BURAD     ;Budget debit row;27;TENANTNAME;Tenant, benämning;C;30
;BURAD     ;Budget debit row;28;AREA      ;Area;N;20
;BURAD     ;Budget debit row;29;PART1     ;Code part 1;C;10
;BURAD     ;Budget debit row;30;PART2     ;Code part 2;C;10
;BURAD     ;Budget debit row;31;PART3     ;Code part 3;C;10
;BURAD     ;Budget debit row;32;PART4     ;Code part 4;C;10
;BURAD     ;Budget debit row;33;PART5     ;Code part 5;C;10
;BURAD     ;Budget debit row;34;PART6     ;Code part 6;C;10
;BURAD     ;Budget debit row;35;PART7     ;Code part 7;C;10
;BURAD     ;Budget debit row;36;PART8     ;Code part 8;C;10
;BURAD     ;Budget debit row;37;PART9     ;Code part 9;C;10
;BURAD     ;Budget debit row;38;PART10    ;Code part 10;C;10
;BURAD     ;Budget debit row;39;TIMESTAMP ;;C;10
;BURCR     ;Connection between budget debit row and budgeted c;1;KEYBURCR  ;Connection between budget debit row and budgeted c;C;15
;BURCR     ;Connection between budget debit row and budgeted c;2;KEYBUCHG  ;Budgeterad förändring;C;15
;BURCR     ;Connection between budget debit row and budgeted c;3;KEYBURAD  ;Budgetdebiteringsrad;C;15
;BURCR     ;Connection between budget debit row and budgeted c;4;LINKKIND  ;Row type;I;4
;BURCR     ;Connection between budget debit row and budgeted c;5;TIMESTAMP ;;C;10
;BUREV     ;Budget version;1;KEYBUREV  ;Budget version;C;15
;BUREV     ;Budget version;2;KEYBUBUB  ;Basis for budget;C;15
;BUREV     ;Budget version;3;KEYBUSTA  ;Prognosstatus;C;15
;BUREV     ;Budget version;4;CAPTION   ;Benämning;C;60
;BUREV     ;Budget version;5;FDATE     ;From date;T;8
;BUREV     ;Budget version;6;TDATE     ;To date;T;8
;BUREV     ;Budget version;7;TIMESTAMP ;;C;10
;BUSTA     ;Prognosis status;1;KEYBUSTA  ;Prognosis status;C;15
;BUSTA     ;Prognosis status;2;CAPTION   ;Benämning;C;30
;BUSTA     ;Prognosis status;3;LOCKED    ;Locked;L;1
;BUSTA     ;Prognosis status;4;TRANSFRD  ;Transferred;L;1
;BUSTA     ;Prognosis status;5;SEQUENCENO;Sequence;I;4
;BUSTA     ;Prognosis status;6;TIMESTAMP ;;C;10
;CMABS     ;Frånvaro;1;KEYCMABS  ;Frånvaro;C;15
;CMABS     ;Frånvaro;2;KEYCMCTC  ;Kontakt;C;15
;CMABS     ;Frånvaro;3;ABSTYPE   ;Frånvarotyp;I;4
;CMABS     ;Frånvaro;4;FDATE     ;Fr.o.m. datum;T;8
;CMABS     ;Frånvaro;5;TDATE     ;T.o.m. datum;T;8
;CMABS     ;Frånvaro;6;TIMESTAMP ;;C;10
;CMACC     ;Behörighet;1;KEYCMACC  ;Behörighet;C;15
;CMACC     ;Behörighet;2;KEYCMCMP  ;Företag;C;15
;CMACC     ;Behörighet;3;KEYSYUSR  ;Användare;C;15
;CMACC     ;Behörighet;4;TIMESTAMP ;;C;10
;CMADR     ;Adress;1;KEYCMADR  ;Adress;C;15
;CMADR     ;Adress;2;KEYCMTYP  ;Adresstyp;C;15
;CMADR     ;Adress;3;KEYDBTBL  ;Tabell;C;15
;CMADR     ;Adress;4;KEYCODE   ;;C;15
;CMADR     ;Adress;5;REGION    ;;C;2
;CMADR     ;Adress;6;ADRESS1   ;Postadress;C;60
;CMADR     ;Adress;7;ADRESS2   ;Postadress 2;C;60
;CMADR     ;Adress;8;ADRESS3   ;Postnr;C;60
;CMADR     ;Adress;9;ADRESS4   ;Ort;C;60
;CMADR     ;Adress;10;ADRESS5   ;Land;C;60
;CMADR     ;Adress;11;ADRESS6   ;Gata;C;60
;CMADR     ;Adress;12;ADRESS7   ;Gatunummer;C;60
;CMADR     ;Adress;13;ADRESS8   ;Suffix;C;60
;CMADR     ;Adress;14;ADRESS9   ;;C;60
;CMADR     ;Adress;15;ADRESS10  ;;C;60
;CMADR     ;Adress;16;FDATE     ;Fr.o.m. datum;T;8
;CMADR     ;Adress;17;TDATE     ;T.o.m. datum;T;8
;CMADR     ;Adress;18;TIMESTAMP ;;C;10
;CMADS     ;Adresstruktur;1;KEYCMADS  ;Adresstruktur;C;15
;CMADS     ;Adresstruktur;2;KEYBAMUN  ;Kommun;C;15
;CMADS     ;Adresstruktur;3;REGION    ;Region;C;2
;CMADS     ;Adresstruktur;4;C1        ;Postnr;C;10
;CMADS     ;Adresstruktur;5;C2        ;Typ;C;10
;CMADS     ;Adresstruktur;6;C3        ;Gatunummer fr.o.m.;C;10
;CMADS     ;Adresstruktur;7;C4        ;Gatunummer t.o.m.;C;10
;CMADS     ;Adresstruktur;8;C5        ;;C;10
;CMADS     ;Adresstruktur;9;STREET    ;Postadress;C;80
;CMADS     ;Adresstruktur;10;CITY      ;Ort;C;60
;CMADS     ;Adresstruktur;11;TIMESTAMP ;;C;10
;CMALT     ;Notifiering;1;KEYCMALT  ;Notifiering;C;15
;CMALT     ;Notifiering;2;KEYCMQRY  ;Urval;C;15
;CMALT     ;Notifiering;3;KEYSYUSR  ;Användare;C;15
;CMALT     ;Notifiering;4;CAPTION   ;Benämning;C;60
;CMALT     ;Notifiering;5;ALERTKIND ;;I;4
;CMALT     ;Notifiering;6;NOTKIND   ;Meddelandesätt;I;4
;CMALT     ;Notifiering;7;EMAILADR  ;E-postadress;C;100
;CMALT     ;Notifiering;8;EMESSAGE  ;;M;4
;CMALT     ;Notifiering;9;SMSPHONE  ;Telefonnummer;C;60
;CMALT     ;Notifiering;10;SMSMESSAGE;;M;4
;CMALT     ;Notifiering;11;TIMESTAMP ;;C;10
;CMARA     ;Tillåten artikelgrupp;1;KEYCMARA  ;Tillåten artikelgrupp;C;15
;CMARA     ;Tillåten artikelgrupp;2;KEYCMTYP  ;Artikeltyp;C;15
;CMARA     ;Tillåten artikelgrupp;3;KEYCMARG  ;Artikelgrupp;C;15
;CMARA     ;Tillåten artikelgrupp;4;TIMESTAMP ;;C;10
;CMARG     ;Artikelgrupp;1;KEYCMARG  ;Artikelgrupp;C;15
;CMARG     ;Artikelgrupp;2;KEYSYMDL  ;Modul;C;15
;CMARG     ;Artikelgrupp;3;CAPTION   ;Artikelgrupp;C;30
;CMARG     ;Artikelgrupp;4;ADDPRCNT  ;Påslag, utlägg;Y;8
;CMARG     ;Artikelgrupp;5;ADDPRCNTLR;Påslag, lev.fakt.;Y;8
;CMARG     ;Artikelgrupp;6;REPABKOD  ;Systemstandard;I;4
;CMARG     ;Artikelgrupp;7;TIMESTAMP ;;C;10
;CMART     ;Artikel;1;KEYCMART  ;Artikel;C;15
;CMART     ;Artikel;2;KEYSYMDL  ;Modul;C;15
;CMART     ;Artikel;3;KEYCMTYP  ;Artikeltyp;C;15
;CMART     ;Artikel;4;KEYCMTYP2 ;Undertyp;C;15
;CMART     ;Artikel;5;KEYCMUNI  ;Enhet;C;15
;CMART     ;Artikel;6;KEYCMUNI2 ;Enhet;C;15
;CMART     ;Artikel;7;KEYCMARG  ;Artikelgrupp;C;15
;CMART     ;Artikel;8;KEYCMSFD  ;Servicefond;C;15
;CMART     ;Artikel;9;KEYCMVAT  ;Areaenhet grundhyra;C;15
;CMART     ;Artikel;10;KEYCMVAT2 ;Areaenhet hyresrad kontrakt;C;15
;CMART     ;Artikel;11;KEYHYSUM  ;Summarad;C;15
;CMART     ;Artikel;12;KEYHYSGP  ;Bidragsgrupp;C;15
;CMART     ;Artikel;13;KEYCMART2 ;Artikel;C;15
;CMART     ;Artikel;14;CODE      ;Artikel;C;20
;CMART     ;Artikel;15;CAPTION   ;Benämning;C;70
;CMART     ;Artikel;16;ARTUSED   ;Aktiv;I;4
;CMART     ;Artikel;17;PRICE     ;Pris;Y;8
;CMART     ;Artikel;18;PRICEINT  ;Pris, internt;Y;8
;CMART     ;Artikel;19;PRICEBUY  ;Pris, inköp;Y;8
;CMART     ;Artikel;20;REFERENCE1;Lagerplats;C;30
;CMART     ;Artikel;21;REFERENCE2;Referens 2;C;30
;CMART     ;Artikel;22;REFERENCE3;Referens 3;C;30
;CMART     ;Artikel;23;AVITEXT   ;Avitext;C;80
;CMART     ;Artikel;24;HYBORTFALL;Hyresbortfall;I;4
;CMART     ;Artikel;25;AREAHYRA  ;Areaenhet hyra;C;1
;CMART     ;Artikel;26;REGLMETOD ;Reglering;C;1
;CMART     ;Artikel;27;UTSKRGRUPP;Utskriftsgrupp;C;4
;CMART     ;Artikel;28;VARAKTIG  ;Varaktighet;I;4
;CMART     ;Artikel;29;KONTRUPPG ;Kontrolluppgift;I;4
;CMART     ;Artikel;30;DEBIT     ;Faktureras;I;4
;CMART     ;Artikel;31;AVDRAG    ;Avdrag;I;4
;CMART     ;Artikel;32;KONTSUMMA ;Ingår i kontraktshyra;I;4
;CMART     ;Artikel;33;ABSENCE   ;Frånvaro;I;4
;CMART     ;Artikel;34;REGULAR   ;Allmän artikel;I;4
;CMART     ;Artikel;35;ARTUSAGE  ;Användningsområde;I;4
;CMART     ;Artikel;36;AMCALCINC ;Include in assessed value;I;4
;CMART     ;Artikel;37;PRINVEXTIN;External/Internal;I;4
;CMART     ;Artikel;38;DEBITLOCK ;Debit locked for editing;I;4
;CMART     ;Artikel;39;HELPERIOD ;Debiteras alltid hel period;I;4
;CMART     ;Artikel;40;PDFEE     ;Administrativ avgift;I;4
;CMART     ;Artikel;41;PDHEAT    ;Deduction of heat;I;4
;CMART     ;Artikel;42;PDFEEPRCNT;Administrativ avgift (%);N;20
;CMART     ;Artikel;43;ARTEXPORT ;Export;I;4
;CMART     ;Artikel;44;PRIORITY  ;Priority;I;4
;CMART     ;Artikel;45;REPABKOD  ;Standard;I;4
;CMART     ;Artikel;46;DEVTOLERAN;Deviation tolerance, %;I;4
;CMART     ;Artikel;47;TIMESTAMP ;;C;10
;CMBAC     ;Bank account code type;1;KEYCMBAC  ;;C;15
;CMBAC     ;Bank account code type;2;KEYCMBNK  ;Bankkonto;C;15
;CMBAC     ;Bank account code type;3;KEYREKPY  ;Kodtyp;C;15
;CMBAC     ;Bank account code type;4;YEAR      ;Accounting year;I;4
;CMBAC     ;Bank account code type;5;TIMESTAMP ;;C;10
;CMBLG     ;Körningslogg;1;KEYCMBLG  ;Run log;C;15
;CMBLG     ;Körningslogg;2;KEYSYUSR  ;User;C;15
;CMBLG     ;Körningslogg;3;BATCH     ;Run;C;18
;CMBLG     ;Körningslogg;4;BATCHTYPE ;Run ID;I;4
;CMBLG     ;Körningslogg;5;BATCHDATE ;Run date;T;8
;CMBLG     ;Körningslogg;6;KEYCODE   ;Connection;C;15
;CMBLG     ;Körningslogg;7;CHECKSUM  ;Check sum imported files;I;4
;CMBLG     ;Körningslogg;8;FILESIZE  ;;I;4
;CMBLG     ;Körningslogg;9;TIMESTAMP ;;C;10
;CMBLH     ;Batchlogg;1;KEYCMBLH  ;Batchlogg;C;15
;CMBLH     ;Batchlogg;2;KEYCMBTH  ;Batch;C;15
;CMBLH     ;Batchlogg;3;STARTDATE ;Startdatum;T;8
;CMBLH     ;Batchlogg;4;STARTTIME ;Starttid;T;8
;CMBLH     ;Batchlogg;5;ENDDATE   ;Slutdatum;T;8
;CMBLH     ;Batchlogg;6;ENDTIME   ;Sluttid;T;8
;CMBLH     ;Batchlogg;7;USERID    ;Användare;C;80
;CMBLH     ;Batchlogg;8;BLHNODE   ;Dator;C;30
;CMBLH     ;Batchlogg;9;CAPTION   ;Benämning;C;50
;CMBLH     ;Batchlogg;10;BLHSTATUS ;Status;I;4
;CMBLH     ;Batchlogg;11;TIMESTAMP ;;C;10
;CMBLK     ;Locked for editing;1;KEYCMBLK  ;;C;15
;CMBLK     ;Locked for editing;2;LOCKCAUSE ;Reason;C;30
;CMBLK     ;Locked for editing;3;LOCKITEMID;Key;C;15
;CMBLK     ;Locked for editing;4;TIMESTAMP ;;C;10
;CMBLR     ;Batchloggsrad;1;KEYCMBLR  ;Batchloggsrad;C;15
;CMBLR     ;Batchloggsrad;2;KEYCMBLH  ;Batchlogg;C;15
;CMBLR     ;Batchloggsrad;3;KEYSYMDL  ;Modul;C;15
;CMBLR     ;Batchloggsrad;4;KEYCMBTR  ;Batch process;C;15
;CMBLR     ;Batchloggsrad;5;KEYCMPRC  ;Process;C;15
;CMBLR     ;Batchloggsrad;6;KEYCMRBH  ;Rapportunderlag;C;15
;CMBLR     ;Batchloggsrad;7;STARTDATE ;Startdatum;T;8
;CMBLR     ;Batchloggsrad;8;STARTTIME ;Starttid;T;8
;CMBLR     ;Batchloggsrad;9;CAPTION   ;Benämning;C;50
;CMBLR     ;Batchloggsrad;10;BLRTEXT   ;Beskrivning;M;4
;CMBLR     ;Batchloggsrad;11;BLRSTATUS ;Typ;I;4
;CMBLR     ;Batchloggsrad;12;TIMESTAMP ;;C;10
;CMBNK     ;Bank account;1;KEYCMBNK  ;;C;15
;CMBNK     ;Bank account;2;KEYCMCMP  ;Företag;C;15
;CMBNK     ;Bank account;3;KEYCMCLN  ;Clearingnummer;C;15
;CMBNK     ;Bank account;4;ALLOWTRANS;Permissible transfer;I;4
;CMBNK     ;Bank account;5;ACCOUNT   ;[TXC_0V110C55Z] [TXC<L>_S2N0SET1C];C;50
;CMBNK     ;Bank account;6;TAXACCOUNT;Tax account;I;4
;CMBNK     ;Bank account;7;ISSTANDARD;Default;I;4
;CMBNK     ;Bank account;8;OCRPAYMENT;OCR payment;I;4
;CMBNK     ;Bank account;9;TIMESTAMP ;;C;10
;CMBSC     ;Bank statement code;1;KEYCMBSC  ;;C;15
;CMBSC     ;Bank statement code;2;CODE      ;Kod;C;15
;CMBSC     ;Bank statement code;3;CAPTION   ;Benämning;C;30
;CMBSC     ;Bank statement code;4;BANKTEXT  ;Text;C;30
;CMBSC     ;Bank statement code;5;USED      ;Active;I;4
;CMBSC     ;Bank statement code;6;TIMESTAMP ;;C;10
;CMBSL     ;Work Schedule;1;KEYCMBSL  ;;C;15
;CMBSL     ;Work Schedule;2;KEYCMBTH  ;Batch;C;15
;CMBSL     ;Work Schedule;3;STARTDATE ;Start date;T;8
;CMBSL     ;Work Schedule;4;ENDDATE   ;End date;T;8
;CMBSL     ;Work Schedule;5;RUNTIME   ;Run time;C;16
;CMBSL     ;Work Schedule;6;PERIOD    ;Periodicity;I;4
;CMBSL     ;Work Schedule;7;PEXTRA    ;Periodicity extra;C;250
;CMBSL     ;Work Schedule;8;CAPTION   ;Benämning;C;250
;CMBSL     ;Work Schedule;9;PAYLOAD   ;Payload;M;4
;CMBSL     ;Work Schedule;10;TIMESTAMP ;;C;10
;CMBTA     ;Behörighet för batch;1;KEYCMBTA  ;Behörighet för batch;C;15
;CMBTA     ;Behörighet för batch;2;KEYCMBTH  ;Batch;C;15
;CMBTA     ;Behörighet för batch;3;KEYSYGRP  ;Behörighetsgrupp;C;15
;CMBTA     ;Behörighet för batch;4;TIMESTAMP ;;C;10
;CMBTH     ;Batch;1;KEYCMBTH  ;Batch;C;15
;CMBTH     ;Batch;2;KEYSYUSR  ;Användare;C;15
;CMBTH     ;Batch;3;CAPTION   ;Benämning;C;50
;CMBTH     ;Batch;4;MAILOK    ;E-postadress vid lyckad batch;C;250
;CMBTH     ;Batch;5;MAILERROR ;E-postadress vid misslyckad batch;C;250
;CMBTH     ;Batch;6;SMSOK     ;Telefonnummer vid lyckad batch;C;250
;CMBTH     ;Batch;7;SMSERROR  ;Telefonnummer vid misslyckad batch;C;250
;CMBTH     ;Batch;8;ACCR      ;Alla användare får använda batchen;I;4
;CMBTH     ;Batch;9;ACCW      ;Alla användare får förändra och spara batchen;I;4
;CMBTH     ;Batch;10;INCLOG    ;;I;4
;CMBTH     ;Batch;11;TIMESTAMP ;;C;10
;CMBTR     ;Batch process;1;KEYCMBTR  ;Batch process;C;15
;CMBTR     ;Batch process;2;KEYCMBTH  ;Batch;C;15
;CMBTR     ;Batch process;3;KEYCMPRC  ;Process;C;15
;CMBTR     ;Batch process;4;KEYCMRBH  ;Rapportunderlag;C;15
;CMBTR     ;Batch process;5;KEYCMQRY  ;Urval;C;15
;CMBTR     ;Batch process;6;BTRORDER  ;Ordning;I;4
;CMBTR     ;Batch process;7;SETTINGS  ;Inställning;M;4
;CMBTR     ;Batch process;8;TIMESTAMP ;;C;10
;CMBTT     ;Bank transfer transaction;1;KEYCMBTT  ;;C;15
;CMBTT     ;Bank transfer transaction;2;KEYCMCMP  ;Företag;C;15
;CMBTT     ;Bank transfer transaction;3;KEYSYUSR  ;Användare;C;15
;CMBTT     ;Bank transfer transaction;4;KEYREVRH  ;Verifikat;C;15
;CMBTT     ;Bank transfer transaction;5;KEYCMBNK  ;Bankkonto;C;15
;CMBTT     ;Bank transfer transaction;6;KEYCMBNK2 ;Bankkonto;C;15
;CMBTT     ;Bank transfer transaction;7;CODE      ;Kod;C;50
;CMBTT     ;Bank transfer transaction;8;TRANSDATE ;Transaction date;T;8
;CMBTT     ;Bank transfer transaction;9;REGDATE   ;Registration date;T;8
;CMBTT     ;Bank transfer transaction;10;AMOUNT    ;Amount;Y;8
;CMBTT     ;Bank transfer transaction;11;STATUS    ;Status;I;4
;CMBTT     ;Bank transfer transaction;12;REJREASON ;Reject reason;C;105
;CMBTT     ;Bank transfer transaction;13;REJCODE   ;Rejection code;C;4
;CMBTT     ;Bank transfer transaction;14;GROUPID   ;Id;C;33
;CMBTT     ;Bank transfer transaction;15;TIMESTAMP ;;C;10
;CMCAD     ;cmcad;1;KEYCMCAD  ;;C;15
;CMCAD     ;cmcad;2;IMPDATE   ;Datum;C;10
;CMCAD     ;cmcad;3;CAPTION   ;Benämning;C;200
;CMCAD     ;cmcad;4;DESCRIPT  ;Beskrivning;M;4
;CMCAD     ;cmcad;5;TIMESTAMP ;;C;10
;CMCAE     ;Kalender  Exchange buffert;1;KEYCMCAE  ;;C;15
;CMCAE     ;Kalender  Exchange buffert;2;KEYCMCTC  ;Kontakt;C;15
;CMCAE     ;Kalender  Exchange buffert;3;STARTDATE ;;T;8
;CMCAE     ;Kalender  Exchange buffert;4;STARTTIME ;;T;8
;CMCAE     ;Kalender  Exchange buffert;5;ENDDATE   ;;T;8
;CMCAE     ;Kalender  Exchange buffert;6;ENDTIME   ;;T;8
;CMCAE     ;Kalender  Exchange buffert;7;ENTITY    ;;I;4
;CMCAE     ;Kalender  Exchange buffert;8;RECURRING ;;I;4
;CMCAE     ;Kalender  Exchange buffert;9;ALLDAY    ;;I;4
;CMCAE     ;Kalender  Exchange buffert;10;SUBJECT   ;;M;4
;CMCAE     ;Kalender  Exchange buffert;11;LOCATION  ;;M;4
;CMCAE     ;Kalender  Exchange buffert;12;BODY      ;;M;4
;CMCAE     ;Kalender  Exchange buffert;13;SENSITIV  ;;I;4
;CMCAE     ;Kalender  Exchange buffert;14;BUSYSTATUS;;I;4
;CMCAE     ;Kalender  Exchange buffert;15;CREATED   ;;T;8
;CMCAE     ;Kalender  Exchange buffert;16;EXCHGEID  ;;C;200
;CMCAE     ;Kalender  Exchange buffert;17;EXCHGEUSER;;C;150
;CMCAE     ;Kalender  Exchange buffert;18;TIMESTAMP ;;C;10
;CMCAL     ;Avtalad tid;1;KEYCMCAL  ;Avtalad tid;C;15
;CMCAL     ;Avtalad tid;2;KEYSYUSR  ;Skapad av;C;15
;CMCAL     ;Avtalad tid;3;KEYSYUSR2 ;Användare;C;15
;CMCAL     ;Avtalad tid;4;KEYDBTBL  ;Tabell;C;15
;CMCAL     ;Avtalad tid;5;KEYDBTBL2 ;;C;15
;CMCAL     ;Avtalad tid;6;KEYCODE   ;;C;15
;CMCAL     ;Avtalad tid;7;KEYCODE2  ;;C;15
;CMCAL     ;Avtalad tid;8;KEYCMREM  ;Påminnelse;C;15
;CMCAL     ;Avtalad tid;9;STARTDATE ;Startdatum;T;8
;CMCAL     ;Avtalad tid;10;STARTTIME ;Starttid;T;8
;CMCAL     ;Avtalad tid;11;ENDDATE   ;Slutdatum;T;8
;CMCAL     ;Avtalad tid;12;ENDTIME   ;Sluttid;T;8
;CMCAL     ;Avtalad tid;13;ENTITY    ;;I;4
;CMCAL     ;Avtalad tid;14;RECURRING ;Återkommande;I;4
;CMCAL     ;Avtalad tid;15;ALLDAY    ;Hela dagen;I;4
;CMCAL     ;Avtalad tid;16;SUBJECT   ;Ämne;M;4
;CMCAL     ;Avtalad tid;17;LOCATION  ;Plats;M;4
;CMCAL     ;Avtalad tid;18;BODY      ;;M;4
;CMCAL     ;Avtalad tid;19;SENSITIV  ;;I;4
;CMCAL     ;Avtalad tid;20;BUSYSTATUS;;I;4
;CMCAL     ;Avtalad tid;21;CREATED   ;Skapad;T;8
;CMCAL     ;Avtalad tid;22;COLORCODE ;Colour scheme;I;4
;CMCAL     ;Avtalad tid;23;CALSTATUS ;Status;I;4
;CMCAL     ;Avtalad tid;24;EXCHGEID  ;;C;200
;CMCAL     ;Avtalad tid;25;EXCHGEUSER;;C;150
;CMCAL     ;Avtalad tid;26;EXCHGETSP ;;C;100
;CMCAL     ;Avtalad tid;27;TIMESTAMP ;;C;10
;CMCAR     ;Återkommande;1;KEYCMCAR  ;Återkommande;C;15
;CMCAR     ;Återkommande;2;KEYCMCAL  ;Avtalad tid;C;15
;CMCAR     ;Återkommande;3;RECURRTYP ;;I;4
;CMCAR     ;Återkommande;4;STARTDATE ;Startdatum;T;8
;CMCAR     ;Återkommande;5;STARTTIME ;Starttid;T;8
;CMCAR     ;Återkommande;6;ENDDATE   ;Slutdatum;T;8
;CMCAR     ;Återkommande;7;ENDTIME   ;Sluttid;T;8
;CMCAR     ;Återkommande;8;NOENDDATE ;;I;4
;CMCAR     ;Återkommande;9;OCCURR    ;;I;4
;CMCAR     ;Återkommande;10;DOM       ;;I;4
;CMCAR     ;Återkommande;11;DOW       ;;I;4
;CMCAR     ;Återkommande;12;INSTANCE  ;;I;4
;CMCAR     ;Återkommande;13;INTERVAL  ;;I;4
;CMCAR     ;Återkommande;14;MOY       ;;I;4
;CMCAR     ;Återkommande;15;TIMESTAMP ;;C;10
;CMCAT     ;cmcat;1;KEYCMCAT  ;;C;15
;CMCAT     ;cmcat;2;KEYCMCTC  ;Kontakt;C;15
;CMCAT     ;cmcat;3;CHECKDATE ;;T;8
;CMCAT     ;cmcat;4;TIMESTAMP ;;C;10
;CMCCR     ;Räknarvillkor;1;KEYCMCCR  ;Räknarvillkor;C;15
